Site ID,Location Description,Speed Limit,Reason Code(s),Latitude,Longitude,Geo Location
2568,SB 101 St between 117 - 115 Ave,50,"(b), (c)",53.56729845,-113.49371470,"(53.567298446460306, -113.49371469993817)"
2712,SB 79 St between 105 - 103 Ave,50,(h),53.54633354,-113.44929002,"(53.54633354164507, -113.44929002424692)"
2472,WB 132 Ave between 103 - 105 St,50,"(a), (h)",53.59206171,-113.49899841,"(53.59206170652085, -113.49899841427775)"
2478,WB 76 Ave between 85 - 87 St,40,"(a), (h)",53.51229132,-113.45951129,"(53.512291320006966, -113.45951128999904)"
2589,EB 51 Ave between 114 - 112 St,50,(h),53.48819509,-113.52190308,"(53.48819508766002, -113.52190308158643)"
2626,NB 189 St between 59 Ave - Callingwood Rd,50,(h),53.49413379,-113.65135029,"(53.494133793740524, -113.65135028704648)"
7085,NB Gateway Blvd - South of Anthony Henday Dr.,90,"(a), (b), (c)",53.43486002,-113.49002456,"(53.43486002152614, -113.49002455995429)"
2756,WB 82 Ave between 91 - 95A St,50,"(c), (h)",53.51807394,-113.47154945,"(53.51807393531409, -113.47154944910467)"
2670,EB 118 Ave between 78 St - Wayne Gretzky Dr,50,"(b), (c)",53.57030734,-113.45724250,"(53.570307335302715, -113.45724250164393)"
2585,EB 41 Ave between 97 - 92 St,50,"(c), (h)",53.47647554,-113.47479609,"(53.4764755440686, -113.4747960912959)"
7075,WB Yellowhead Tr at 7710 Yellowhead Tr,70,"(b), (c)",53.58250717,-113.45958783,"(53.58250716540834, -113.45958783296466)"
7006,NB Anth. Henday Dr. south of N. Sask River,100,(a),53.45697847,-113.61071730,"(53.45697846602743, -113.61071730155143)"
2510,EB 142 Ave between 127 - 122 St,50,(h),53.60418437,-113.53633364,"(53.6041843654235, -113.53633363870644)"
2468,WB 132 Ave between 119 - 121 St,50,"(b), (h)",53.59215843,-113.52860163,"(53.592158428423296, -113.52860163208166)"
2543,EB 82 Ave between 89 - 87 St,50,(c),53.51802663,-113.46439597,"(53.518026625881376, -113.4643959671418)"
7054,WB 4 Ave SW btwn 50 - 52 St,50,(h),53.42862244,-113.42045222,"(53.42862243848165, -113.4204522152577)"
2714,NB 97 St between 112 - 114 Ave,50,(b),53.56267597,-113.49170282,"(53.562675973611135, -113.49170282419762)"
2558,SB 156 St between 94 - 92 Ave,50,"(b), (c)",53.52837963,-113.59032512,"(53.52837963329957, -113.5903251192683)"
2502,WB 82 Ave between 87 - 89 St,50,(c),53.51802814,-113.46287313,"(53.5180281449368, -113.46287312617724)"
2749,WB 95 Ave between 158 - 160 St,50,(c),53.53155624,-113.59557878,"(53.531556239081084, -113.59557877639594)"
2586,WB 41 Ave between 92 - 97 St,50,"(c), (h)",53.47647554,-113.47479609,"(53.4764755440686, -113.4747960912959)"
2530,WB 144 Ave between 77 - 79 St,50,(h),53.60697802,-113.46181613,"(53.60697801731469, -113.46181612937797)"
2538,NB 163 St between 89 - 93 Ave,50,"(b), (h)",53.52604812,-113.60277075,"(53.52604811879211, -113.60277075053138)"
7169,EB Anthony Henday Dr between 66 St - Manning Dr,100,"(a), (b), (c)",53.64075388,-113.41656547,"(53.64075388187443, -113.41656547211505)"
2649,WB 176 Ave between 97 - 100 St,50,(h),53.63876132,-113.49579578,"(53.6387613214302, -113.4957957824209)"
2637,NB 114 St between 51 - 53 Ave,30,"(f), (h)",53.48901428,-113.52401090,"(53.48901427809853, -113.52401089873581)"
2679,WB Hermitage Rd between Homestead Cr - Henry Ave,50,"(c), (h)",53.58444400,-113.40252024,"(53.584444001879355, -113.40252024455305)"
2555,EB Millwoods Rd S between Knottwood Rd E - 69 St,50,(h),53.44587661,-113.44122934,"(53.44587661154958, -113.441229339086)"
7192,WB Whitemud Dr between North Sask River - 149 St,80,(h),53.51093366,-113.56929740,"(53.51093365865445, -113.56929739675176)"
2704,EB 101 Ave between 70 - 67 St,50,"(a), (h)",53.54119252,-113.43382707,"(53.541192515393895, -113.43382706521898)"
2294,SB 100 St btwn 160 - 157 Ave,50,(h),53.61972172,-113.49617848,"(53.6197217220708, -113.49617848221165)"
2753,EB 95 Ave between 170 - 165 St,50,"(f), (h)",53.53159489,-113.61092032,"(53.53159488961687, -113.61092031770549)"
7130,EB Anthony Henday Dr  at 34 St,100,"(a), (b), (c)",53.43537957,-113.39259397,"(53.43537956821957, -113.39259396948836)"
7175,NB 189 St between 87 - 93 Ave,50,(h),53.52492080,-113.64907639,"(53.524920801814204, -113.64907639210107)"
2757,SB 163 St between 99 - 96A Ave,50,(b),53.53571167,-113.60275402,"(53.53571166825143, -113.60275402414275)"
2731,WB Kingsway Ave btwn Princess Eliz Ave-Airport Rd,60,(b),53.56408238,-113.51588890,"(53.56408237813531, -113.5158888974601)"
7058,NB Wayne Gretzky Dr. - 106 Ave - Capilano Bridge,80,(a),53.55183895,-113.43763677,"(53.55183894692704, -113.43763676692056)"
7094,SB 121 St between Yellowhead Tr - Kingsway Ave,60,(c),53.57714222,-113.53072241,"(53.57714221752638, -113.53072241132087)"
7030,WB 38 Avenue between 41 - 44 Street,50,(h),53.47195845,-113.40225282,"(53.471958446735435, -113.40225282435168)"
2718,NB 97 St between 115 -117 Ave,50,(b),53.56730220,-113.49178446,"(53.56730220298543, -113.4917844583529)"
7206,WB Stony Plain Rd between 178 - 182 St,60,(c),53.54139990,-113.63192095,"(53.541399898107095, -113.63192094542754)"
7129,WB Anthony Henday Dr at 17 St,100,(a),53.43808324,-113.37096873,"(53.43808324427326, -113.37096872935757)"
2646,WB 144 Ave between 54 - 57 St,50,"(f), (h)",53.60696439,-113.42647754,"(53.60696439323432, -113.42647753576496)"
7055,EB 4 Ave SW btwn 52 - 50 St,50,(h),53.42862244,-113.42046175,"(53.428622437630885, -113.42046174696797)"
2769,EB 40 Ave between 111 - 107 St,50,"(a), (f), (h)",53.47573238,-113.51295346,"(53.475732377956675, -113.51295346249019)"
2496,SB 184 St between 60 - 57 Ave,50,(h),53.49291669,-113.64016568,"(53.49291668537749, -113.64016568278916)"
302,EB Whitemud Dr. at Rainbow Valley Bridge,80,(a),53.48244191,-113.55484227,"(53.48244191480881, -113.55484226619923)"
2797,SB Meadowlark Rd between 90 - 88A Ave,50,(h),53.52256231,-113.59376150,"(53.522562311365846, -113.59376150119178)"
2616,SB 113A St between 132 - 130 Ave,50,(h),53.59069563,-113.51654976,"(53.590695625248856, -113.51654976357032)"
2551,EB 180 Ave between 87 - 83 St,50,(h),53.64204931,-113.47075340,"(53.64204930907744, -113.47075340032474)"
2587,EB 51 Ave between 116 - 114 St,50,(h),53.48821440,-113.52787779,"(53.48821439609231, -113.52787778827974)"
2691,EB 90 Ave between 71 - 68 St,60,(h),53.52518581,-113.43415816,"(53.52518580868095, -113.43415815667548)"
2795,NB 159 St between Whitemud Dr - 87 Ave,60,"(c), (h)",53.51546680,-113.59670603,"(53.515466801654995, -113.59670602603825)"
7170,WB Whitemud Dr at 50 St,80,"(a), (b), (c)",53.48735175,-113.41808536,"(53.487351752223006, -113.4180853624621)"
2647,EB 144 Ave between 57 - 54 St,50,"(f), (h)",53.60683200,-113.42645384,"(53.60683200388742, -113.42645384203917)"
2724,SB 95 St between 114 - 112 Ave,50,(h),53.56265622,-113.48715003,"(53.562656221220564, -113.48715002601968)"
7016,WB Whitemud Dr east of 17 Street,80,"(b), (c)",53.48260872,-113.36274539,"(53.48260872136551, -113.36274538644595)"
2727,EB 111 Ave between 113 - 110 St,60,(b),53.55882574,-113.51302431,"(53.558825735893926, -113.51302431393195)"
